serial_number,fold,true_biotreat,predicted_biotreat,confidence,served_population,population_bucket,N2O_true_EF,N2O_pred_EF_mean,N2O_pred_EF_p2.5,N2O_pred_EF_p97.5,CH4_true_EF,CH4_pred_EF_mean,CH4_pred_EF_p2.5,CH4_pred_EF_p97.5
9993,1,SBR,A2O,0.323254473648034,41500.0,large: 10000+,1.8718395132955983,0.6266197562217712,0.10015600919723511,1.6734381914138794,0.016693715234024208,0.02354435995221138,0.008366133086383343,0.05372248589992523
10004,1,TF,TF,0.3292012011352926,20000.0,large: 10000+,0.0923952398300473,0.5650968551635742,0.09696805477142334,1.5024702548980713,0.03271917119861291,0.02477942407131195,0.008596783503890038,0.049576204270124435
10027,1,SBR,SBR,0.3115234409980476,297500.0,large: 10000+,1.8718395132955983,0.968908965587616,0.16569261252880096,2.4420230388641357,0.016693715234024208,0.019731761887669563,0.006942980922758579,0.04117664694786072
10038,1,A2O,SBR,0.4484003342911601,11000.0,large: 10000+,0.7608954837154249,1.1246036291122437,0.16114264726638794,3.0042219161987305,0.021417300864190157,0.01965799182653427,0.006325796712189913,0.03849959373474121
10061,1,A2O,A2O,0.3318070301488042,308000.0,large: 10000+,0.7608954837154249,0.9285641312599182,0.14147232472896576,2.461256980895996,0.021417300864190157,0.021384580060839653,0.007167415227741003,0.04723446071147919
10077,1,A2O,AO,0.5152058430165053,928000.0,large: 10000+,0.7608954837154249,0.5789244771003723,0.07107868790626526,1.5584301948547363,0.021417300864190157,0.020182544365525246,0.004410473629832268,0.04950401186943054
10080,1,AO,AO,0.5418803314939141,20000.0,large: 10000+,0.45442625910922374,0.594190239906311,0.08349406719207764,1.4525203704833984,0.0169423506541553,0.0207798071205616,0.0052901990711688995,0.046376459300518036
10081,1,CAS,A2O,0.5260404923409223,485000.0,large: 10000+,0.46002504380856235,0.7190853953361511,0.10790420323610306,2.0988454818725586,0.021608997891512972,0.021513598039746284,0.005994564387947321,0.061003074049949646
10097,1,A2O,A2O,0.488953504472971,295500.0,large: 10000+,0.7608954837154249,0.7090681791305542,0.10146583616733551,2.014720916748047,0.021417300864190157,0.02140290103852749,0.006028410047292709,0.05854012072086334
10112,1,OD,A2O,0.5291736169531941,70500.0,large: 10000+,0.1650154106879044,0.651940643787384,0.08604218065738678,2.022679567337036,0.02294083003071408,0.02231350727379322,0.005832626949995756,0.0629931166768074
10120,1,SBR,OD,0.3704176969602704,322000.0,large: 10000+,1.8718395132955983,0.6513965129852295,0.10663299262523651,1.6923903226852417,0.016693715234024208,0.022133005782961845,0.007447895128279924,0.0487748384475708
